nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

Interrupt method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
2, 1, 0, 7, 53392, 0
4, 2, 0, 25, 32565, 6059
6, 3, 0, 8, 57193, 5
8, 4, 0, 26, 59845, 0
10, 5, 0, 38, 33214, 0
12, 6, 0, 15, 5235, 0
14, 7, 0, 13, 54777, 0
16, 8, 0, 44, 40090, 0
18, 9, 0, 41, 27325, 0
20, 10, 0, 32, 16305, 0
22, 11, 0, 45, 10656, 0
24, 12, 0, 33, 5781, 0
26, 13, 0, 46, 64221, 0
28, 14, 0, 35, 59528, 0
30, 15, 0, 37, 56968, 0
32, 16, 0, 38, 53475, 0
34, 17, 0, 38, 49384, 0
36, 18, 0, 29, 46004, 0
38, 19, 0, 45, 42859, 0
40, 20, 0, 41, 40481, 0
42, 21, 0, 48, 36395, 0
44, 22, 0, 47, 37440, 0
46, 23, 0, 63, 34606, 0
48, 24, 0, 63, 33490, 0
50, 25, 0, 45, 32854, 0
52, 26, 0, 62, 31551, 0
54, 27, 0, 67, 28574, 0
56, 28, 0, 57, 27949, 0
58, 29, 0, 60, 26194, 0
60, 30, 0, 74, 26617, 0
62, 31, 0, 67, 25364, 0
64, 32, 0, 52, 24010, 0
66, 33, 0, 71, 23352, 0
68, 34, 0, 72, 21433, 0
70, 35, 36, 63, 20837, 0
72, 36, 15, 69, 20001, 0
74, 37, 10, 64, 19756, 0
76, 38, 128, 89, 19241, 0
78, 39, 468, 72, 18753, 0
80, 40, 29, 62, 17888, 0
82, 41, 0, 62, 16669, 0
84, 42, 75, 89, 17647, 0
86, 43, 37, 89, 16111, 0
88, 44, 254, 77, 16635, 0
90, 45, 152, 81, 15204, 0
92, 46, 185, 100, 16874, 0
94, 47, 36, 93, 13893, 0
96, 48, 184, 92, 13975, 0
98, 49, 84, 77, 13336, 0
100, 50, 43, 83, 13371, 0
102, 51, 128, 69, 12822, 0
104, 52, 381, 66, 12580, 0
106, 53, 617, 68, 12347, 0
108, 54, 847, 78, 12122, 0
110, 55, 1070, 80, 11906, 0
112, 56, 1285, 103, 17413, 0
114, 57, 1489, 122, 12558, 0
116, 58, 1681, 110, 11429, 0
118, 59, 1851, 113, 11115, 0
120, 60, 270, 95, 9410, 0
122, 61, 133, 106, 9575, 0
124, 62, 255, 110, 9526, 0
126, 63, 462, 97, 9377, 0
128, 64, 659, 107, 9232, 0
130, 65, 839, 96, 9092, 0
132, 66, 1014, 133, 10855, 0
134, 67, 1176, 138, 9489, 0
136, 68, 532, 134, 8173, 0
138, 69, 1, 111, 7146, 0
140, 70, 893, 123, 8501, 0
142, 71, 38, 114, 6951, 0
144, 72, 364, 118, 7195, 0
146, 73, 73, 115, 6763, 0
148, 74, 85, 131, 6670, 0
150, 75, 57, 132, 6580, 0
152, 76, 18, 139, 6495, 0
154, 77, 128, 109, 6412, 0
156, 78, 296, 110, 6331, 0
158, 79, 469, 110, 6252, 0
160, 80, 617, 122, 6174, 0
162, 81, 761, 108, 6099, 0
164, 82, 926, 124, 6025, 0
166, 83, 1070, 123, 5953, 0
168, 84, 1221, 122, 5883, 0
170, 85, 1355, 108, 5815, 0
172, 86, 1489, 124, 5748, 0
174, 87, 1622, 108, 5683, 0
176, 88, 1735, 107, 5619, 0
178, 89, 1851, 108, 5557, 0
180, 90, 1961, 109, 5496, 0
182, 91, 2102, 107, 5436, 0
184, 92, 2212, 121, 5377, 0
186, 93, 2363, 122, 5320, 0
188, 94, 2462, 122, 5264, 0
190, 95, 2603, 120, 5210, 0
192, 96, 2694, 107, 5157, 0
194, 97, 2797, 122, 5104, 0
196, 98, 2885, 108, 5052, 0
198, 99, 2997, 105, 5001, 0
200, 100, 3104, 121, 4951, 0
202, 101, 3222, 123, 4902, 0
204, 102, 3298, 106, 4855, 0
206, 103, 3391, 120, 4808, 0
208, 104, 3489, 121, 4762, 0
210, 105, 3578, 122, 4717, 0
212, 106, 3660, 120, 4673, 0
214, 107, 3751, 119, 4630, 0
216, 108, 3844, 106, 4588, 0
218, 109, 3929, 106, 4546, 0
220, 110, 4051, 121, 4505, 0
222, 111, 4118, 106, 4465, 0
224, 112, 4237, 172, 7723, 0
226, 113, 4383, 217, 8765, 0
228, 114, 4410, 220, 6550, 0
230, 115, 4467, 224, 5194, 0
232, 116, 4522, 227, 4436, 0
234, 117, 4587, 228, 4594, 0
236, 118, 4666, 231, 4206, 0
238, 119, 4758, 232, 4170, 0
240, 120, 3156, 188, 3028, 0
242, 121, 2297, 178, 2357, 0
244, 122, 2032, 161, 2039, 0
246, 123, 2108, 168, 2250, 0
248, 124, 2283, 169, 2552, 0
250, 125, 2406, 159, 2620, 0
252, 126, 2549, 166, 2624, 0
254, 127, 2626, 158, 2605, 0
256, 128, 2692, 177, 2584, 0
258, 129, 2760, 164, 2565, 0
260, 130, 2847, 177, 2545, 0
262, 131, 2943, 153, 2526, 0
264, 132, 3006, 163, 2507, 0
266, 133, 3108, 249, 4959, 0
268, 134, 3174, 251, 3844, 0
270, 135, 3265, 249, 2456, 0
272, 136, 3343, 249, 2435, 0
274, 137, 1775, 245, 1763, 0
276, 138, 1934, 212, 1478, 0
278, 139, 3, 229, 4, 0
280, 140, 2393, 250, 3391, 0
282, 141, 2471, 258, 1772, 0
284, 142, 2546, 257, 1751, 0
286, 143, 44, 235, 10, 0
288, 144, 1980, 258, 1407, 0
290, 145, 1370, 253, 916, 0
292, 146, 1273, 255, 850, 0
294, 147, 80, 249, 10, 0
296, 148, 263, 243, 135, 0
298, 149, 89, 246, 5, 0
300, 150, 78, 246, 3, 0
302, 151, 58, 254, 2, 0
304, 152, 44, 247, 2, 0
306, 153, 19, 249, 2, 0
308, 154, 52, 232, 2, 0
310, 155, 129, 232, 2, 0
312, 156, 213, 232, 2, 0
314, 157, 297, 232, 2, 0
316, 158, 382, 232, 2, 0
318, 159, 470, 232, 2, 0
320, 160, 541, 232, 2, 0
322, 161, 617, 232, 1, 0
324, 162, 700, 232, 1, 0
326, 163, 761, 232, 1, 0
328, 164, 847, 232, 1, 0
330, 165, 926, 232, 1, 0
332, 166, 997, 232, 1, 0
334, 167, 1070, 232, 1, 0
336, 168, 1182, 232, 1, 0
338, 169, 1220, 232, 1, 0
340, 170, 1285, 232, 1, 0
342, 171, 1367, 232, 1, 0
344, 172, 1444, 232, 1, 0
346, 173, 1489, 232, 1, 0
348, 174, 1557, 232, 1, 0
350, 175, 1622, 232, 1, 0
352, 176, 1681, 232, 1, 0
354, 177, 1735, 232, 1, 0
356, 178, 1859, 232, 1, 0
358, 179, 1851, 232, 1, 0
360, 180, 1911, 232, 1, 0
362, 181, 1961, 232, 1, 0
364, 182, 2048, 232, 1, 0
366, 183, 2102, 232, 1, 0
368, 184, 2161, 232, 1, 0
370, 185, 2212, 232, 1, 0
372, 186, 2290, 232, 1, 0
374, 187, 2363, 232, 1, 0
376, 188, 2408, 232, 1, 0
378, 189, 2462, 232, 1, 0
380, 190, 2534, 232, 1, 0
382, 191, 2603, 232, 1, 0
384, 192, 2634, 232, 1, 0
386, 193, 2694, 232, 1, 0
388, 194, 2760, 232, 1, 0
390, 195, 2797, 232, 1, 0
392, 196, 2868, 232, 1, 0
394, 197, 2885, 232, 1, 0
396, 198, 2960, 232, 1, 0
398, 199, 2999, 232, 1, 0
400, 200, 3060, 232, 1, 0
402, 201, 3105, 232, 1, 0
404, 202, 3165, 232, 1, 0
406, 203, 3223, 232, 1, 0
408, 204, 3251, 232, 1, 0
410, 205, 3299, 232, 1, 0
412, 206, 3343, 232, 1, 0
414, 207, 3392, 232, 1, 0
416, 208, 3437, 232, 1, 0
418, 209, 3491, 232, 1, 0
420, 210, 3553, 232, 1, 0
422, 211, 3580, 232, 1, 0
424, 212, 3610, 232, 1, 0
426, 213, 3661, 232, 1, 0
428, 214, 3719, 232, 1, 0
430, 215, 3752, 232, 1, 0
432, 216, 3794, 232, 1, 0
434, 217, 3845, 232, 1, 0
436, 218, 3911, 232, 1, 0
438, 219, 3938, 232, 1, 0
440, 220, 3980, 232, 1, 0
442, 221, 4028, 232, 1, 0
444, 222, 4075, 232, 1, 0
446, 223, 4131, 232, 1, 0
448, 224, 4181, 232, 1, 0
450, 225, 4238, 232, 1, 0
452, 226, 4304, 232, 1, 0
454, 227, 4384, 232, 1, 0
456, 228, 4365, 232, 1, 0
458, 229, 4411, 232, 1, 0
460, 230, 4441, 232, 1, 0
462, 231, 4468, 232, 1, 0
464, 232, 4490, 232, 1, 0
466, 233, 4523, 232, 1, 0
468, 234, 4558, 232, 1, 0
470, 235, 4594, 232, 1, 0
472, 236, 4619, 232, 1, 0
474, 237, 4666, 232, 1, 0
476, 238, 4705, 232, 1, 0
478, 239, 4759, 232, 1, 0
480, 240, 4802, 232, 1, 0
482, 241, 4819, 232, 1, 0
484, 242, 4862, 232, 1, 0
486, 243, 4916, 232, 1, 0
488, 244, 4954, 232, 1, 0
490, 245, 4984, 232, 1, 0
492, 246, 5027, 232, 1, 0
494, 247, 5039, 232, 1, 0
496, 248, 5086, 232, 1, 0
498, 249, 5118, 232, 1, 0
500, 250, 5178, 232, 1, 0
502, 251, 5198, 232, 1, 0
504, 252, 5234, 232, 1, 0
506, 253, 5248, 232, 1, 0
508, 254, 5297, 232, 1, 0
510, 255, 5325, 232, 1, 0
512, 256, 5349, 232, 1, 0
514, 257, 5424, 232, 1, 0
516, 258, 5425, 232, 1, 0
518, 259, 5457, 232, 1, 0
520, 260, 5471, 232, 1, 0
522, 261, 5519, 232, 1, 0
524, 262, 5545, 232, 1, 0
526, 263, 5580, 232, 1, 0
528, 264, 5610, 232, 1, 0
530, 265, 5637, 232, 1, 0
532, 266, 5667, 232, 1, 0
534, 267, 5693, 232, 1, 0
536, 268, 5726, 232, 1, 0
538, 269, 5759, 232, 1, 0
540, 270, 5789, 232, 1, 0
