nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

Interrupt method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
Interrupt method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
Tight polling method selected. 
Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple 

Please, press PB0 to continue.
2, 1, 8130, 4, 51364, 0
4, 2, 7307, 6, 35139, 1820
6, 3, 1, 8, 57841, 3245
8, 4, 27, 8, 3385, 0
10, 5, 8771, 8, 32672, 0
12, 6, 1, 11, 11782, 0
14, 7, 1, 8, 46972, 0
16, 8, 3705, 12, 45570, 0
18, 9, 1, 16, 34462, 0
20, 10, 7882, 15, 24804, 0
22, 11, 6607, 16, 11193, 0
24, 12, 6152, 20, 8309, 0
26, 13, 1, 20, 61226, 0
28, 14, 7757, 20, 62435, 0
30, 15, 1, 22, 58035, 0
32, 16, 1, 23, 51152, 0
34, 17, 6613, 25, 54222, 0
36, 18, 8095, 27, 48582, 0
38, 19, 1, 31, 37509, 0
40, 20, 5442, 31, 43086, 0
42, 21, 1, 29, 38961, 0
44, 22, 1, 35, 37064, 0
46, 23, 1, 37, 35257, 0
48, 24, 9229, 41, 38459, 0
50, 25, 5441, 44, 33384, 0
52, 26, 8225, 44, 32926, 0
54, 27, 1, 48, 26162, 0
56, 28, 6685, 49, 27801, 0
58, 29, 1, 49, 25572, 0
60, 30, 4840, 51, 27420, 0
62, 31, 8927, 53, 29018, 0
64, 32, 1, 53, 25974, 0
66, 33, 1841, 57, 27572, 0
68, 34, 10, 61, 28569, 0
70, 35, 4067, 58, 25745, 0
72, 36, 1805, 63, 25224, 0
74, 37, 1, 66, 26313, 0
76, 38, 1, 69, 21698, 0
78, 39, 7855, 66, 20716, 0
80, 40, 3753, 71, 20638, 0
82, 41, 3298, 77, 20512, 0
84, 42, 7031, 72, 20588, 0
86, 43, 8805, 77, 20170, 0
88, 44, 5554, 83, 16669, 0
90, 45, 6522, 82, 18478, 0
92, 46, 7093, 86, 18912, 0
94, 47, 1, 85, 15278, 0
96, 48, 1, 85, 14578, 0
98, 49, 1, 88, 13847, 0
100, 50, 8169, 91, 17972, 0
102, 51, 8013, 93, 17627, 0
104, 52, 7945, 95, 16881, 0
106, 53, 7935, 97, 15873, 0
108, 54, 4798, 96, 13384, 0
110, 55, 4960, 98, 12898, 0
112, 56, 5055, 92, 12489, 0
114, 57, 8619, 102, 14249, 0
116, 58, 8474, 103, 13537, 0
118, 59, 8332, 105, 12939, 0
120, 60, 1, 91, 7215, 0
122, 61, 8064, 106, 11804, 0
124, 62, 7936, 102, 11114, 0
126, 63, 6010, 102, 9617, 0
128, 64, 6153, 97, 9233, 0
130, 65, 6245, 102, 8908, 0
132, 66, 6218, 101, 8709, 0
134, 67, 6445, 101, 8262, 0
136, 68, 1, 74, 3626, 0
138, 69, 1, 85, 3249, 0
140, 70, 1, 80, 2884, 0
142, 71, 1, 78, 2529, 0
144, 72, 1, 92, 3914, 0
146, 73, 1, 86, 2620, 0
148, 74, 1, 80, 2762, 0
150, 75, 1, 89, 3045, 0
152, 76, 1, 116, 3394, 0
154, 77, 1, 114, 3943, 0
156, 78, 1, 108, 1947, 0
158, 79, 1, 109, 4, 0
160, 80, 6028, 110, 6319, 0
162, 81, 1, 74, 765, 0
164, 82, 6023, 115, 6027, 0
166, 83, 5952, 119, 5954, 0
168, 84, 5882, 118, 5884, 0
170, 85, 5814, 112, 5815, 0
172, 86, 7314, 134, 7316, 0
174, 87, 7526, 140, 7527, 0
176, 88, 7958, 133, 7959, 0
178, 89, 7330, 136, 7332, 0
180, 90, 8357, 141, 8358, 0
182, 91, 8738, 155, 8739, 0
184, 92, 9242, 163, 9243, 0
186, 93, 9331, 168, 9332, 0
188, 94, 9418, 157, 9419, 0
190, 95, 9505, 176, 9506, 0
192, 96, 1, 63, 3, 0
194, 97, 1, 62, 3, 0
196, 98, 1, 87, 3, 0
198, 99, 1, 70, 3, 0
200, 100, 1, 73, 3, 0
202, 101, 1, 70, 3, 0
204, 102, 1, 69, 3, 0
206, 103, 1, 70, 3, 0
208, 104, 1, 66, 3, 0
210, 105, 1, 73, 2, 0
212, 106, 1, 67, 2, 0
214, 107, 1, 69, 2, 0
216, 108, 1, 72, 2, 0
218, 109, 1, 73, 2, 0
220, 110, 1, 67, 2, 0
222, 111, 1, 74, 2, 0
224, 112, 1, 70, 2, 0
226, 113, 1, 73, 2, 0
228, 114, 1, 60, 2, 0
230, 115, 1, 53, 2, 0
232, 116, 1, 60, 2, 0
234, 117, 1, 67, 2, 0
236, 118, 1, 73, 2, 0
238, 119, 1, 73, 2, 0
240, 120, 5449, 156, 2816, 0
242, 121, 8195, 190, 4287, 0
244, 122, 5568, 145, 2563, 0
246, 123, 5561, 147, 2505, 0
248, 124, 8000, 183, 3570, 0
250, 125, 5450, 147, 2487, 0
252, 126, 5256, 143, 2620, 0
254, 127, 7813, 176, 2921, 0
256, 128, 7752, 175, 2712, 0
258, 129, 7692, 167, 2505, 0
260, 130, 7634, 169, 2302, 0
262, 131, 7575, 166, 2102, 0
264, 132, 7519, 172, 1906, 0
266, 133, 7463, 166, 1712, 0
268, 134, 7407, 166, 1521, 0
270, 135, 7353, 154, 1332, 0
272, 136, 7299, 160, 1147, 0
274, 137, 7246, 152, 964, 0
276, 138, 7194, 158, 784, 0
278, 139, 7143, 143, 606, 0
280, 140, 7092, 144, 431, 0
282, 141, 7042, 146, 258, 0
284, 142, 6993, 119, 88, 0
286, 143, 7325, 113, 1527, 0
288, 144, 7111, 156, 648, 0
290, 145, 7205, 153, 1071, 0
292, 146, 7298, 142, 1488, 0
294, 147, 6757, 155, 2701, 0
296, 148, 6712, 173, 3353, 0
298, 149, 6667, 169, 2931, 0
300, 150, 6623, 162, 2836, 0
302, 151, 6579, 172, 2882, 0
304, 152, 6536, 172, 2903, 0
306, 153, 6494, 165, 2714, 0
308, 154, 6452, 169, 2675, 0
310, 155, 6411, 185, 2764, 0
312, 156, 6370, 189, 2996, 0
314, 157, 6330, 180, 3163, 0
316, 158, 6290, 181, 3143, 0
318, 159, 6251, 176, 3075, 0
320, 160, 6212, 172, 2909, 0
322, 161, 6173, 177, 2860, 0
324, 162, 6531, 164, 2178, 0
326, 163, 6523, 169, 2058, 0
328, 164, 6316, 163, 2307, 0
330, 165, 3618, 181, 2407, 0
332, 166, 3746, 167, 2244, 0
334, 167, 3908, 161, 2045, 0
336, 168, 4001, 164, 1918, 0
338, 169, 4181, 157, 1703, 0
340, 170, 4309, 135, 1539, 0
342, 171, 4446, 147, 1369, 0
344, 172, 4591, 130, 1191, 0
346, 173, 4703, 121, 1046, 0
348, 174, 4874, 114, 842, 0
350, 175, 5013, 103, 670, 0
352, 176, 5150, 94, 500, 0
354, 177, 5287, 84, 332, 0
356, 178, 5422, 79, 166, 0
358, 179, 5555, 76, 2, 0
360, 180, 5525, 102, 1, 0
362, 181, 5494, 70, 2, 0
364, 182, 5463, 73, 3, 0
366, 183, 5435, 74, 1, 0
368, 184, 5406, 75, 1, 0
370, 185, 5377, 80, 1, 0
372, 186, 5347, 70, 2, 0
374, 187, 5319, 74, 2, 0
376, 188, 5290, 80, 3, 0
378, 189, 5264, 73, 1, 0
380, 190, 5235, 67, 2, 0
382, 191, 5209, 63, 1, 0
384, 192, 5182, 72, 1, 0
386, 193, 5155, 68, 1, 0
388, 194, 5129, 71, 1, 0
390, 195, 5103, 79, 1, 0
392, 196, 5077, 74, 1, 0
394, 197, 5051, 69, 1, 0
396, 198, 5026, 74, 1, 0
398, 199, 5001, 72, 1, 0
400, 200, 4976, 73, 1, 0
402, 201, 4951, 70, 1, 0
404, 202, 4927, 70, 1, 0
406, 203, 4902, 65, 1, 0
408, 204, 7836, 133, 58, 0
410, 205, 4855, 76, 1, 0
412, 206, 4831, 68, 1, 0
414, 207, 1, 61, 0, 0
416, 208, 1, 66, 0, 0
418, 209, 1, 81, 0, 0
420, 210, 1, 73, 0, 0
422, 211, 1, 72, 0, 0
424, 212, 1, 70, 0, 0
426, 213, 1, 73, 0, 0
428, 214, 1, 81, 0, 0
430, 215, 1, 68, 0, 0
432, 216, 1, 75, 0, 0
434, 217, 1, 79, 0, 0
436, 218, 1, 70, 0, 0
438, 219, 1, 74, 0, 0
440, 220, 1, 75, 0, 0
442, 221, 1, 73, 0, 0
444, 222, 1, 65, 0, 0
446, 223, 1, 64, 0, 0
448, 224, 1, 65, 0, 0
450, 225, 1, 68, 0, 0
452, 226, 1, 84, 0, 0
454, 227, 1, 45, 0, 0
456, 228, 1, 99, 0, 0
458, 229, 1, 95, 0, 0
460, 230, 1, 83, 0, 0
462, 231, 1, 74, 0, 0
464, 232, 1, 77, 0, 0
466, 233, 1, 72, 0, 0
468, 234, 1, 65, 0, 0
470, 235, 1, 81, 0, 0
472, 236, 1, 74, 0, 0
474, 237, 1, 70, 0, 0
476, 238, 1, 74, 0, 0
478, 239, 1, 66, 0, 0
480, 240, 1, 77, 0, 0
482, 241, 1, 69, 0, 0
484, 242, 1, 80, 0, 0
486, 243, 1, 70, 0, 0
488, 244, 1, 54, 0, 0
490, 245, 1, 70, 0, 0
492, 246, 1, 81, 0, 0
494, 247, 1, 73, 0, 0
496, 248, 1, 73, 0, 0
498, 249, 1, 73, 0, 0
500, 250, 1, 71, 0, 0
502, 251, 1, 74, 0, 0
504, 252, 1, 87, 0, 0
506, 253, 1, 73, 0, 0
508, 254, 1, 65, 0, 0
510, 255, 1, 75, 0, 0
512, 256, 1, 73, 0, 0
514, 257, 1, 68, 0, 0
516, 258, 1, 71, 0, 0
518, 259, 1, 69, 0, 0
520, 260, 1, 66, 0, 0
522, 261, 1, 77, 0, 0
524, 262, 1, 47, 0, 0
526, 263, 1, 65, 0, 0
528, 264, 1, 93, 0, 0
